"subject" "activity"
"239" 0.13771755 "SITTING"
"240" 0.13775962 NA
"241" 0.13786712 NA
"242" 0.13805939 NA
"243" 0.138144 NA
"244" 0.13816232 NA
"245" 0.13841741 NA
"246" 0.13869448 "WALKING_DOWNSTAIRS"
"247" 0.13899026 NA
"248" 0.13927421 NA
"249" 0.13959502 NA
"250" 0.13964611 NA
"251" 0.14028257 "SITTING"
"252" 0.14057459 NA
"253" 0.14085877 "WALKING"
"254" 0.14103679 NA
"255" 0.14125904 NA
"256" 0.14131155 NA
"257" 0.14143066 "LAYING"
"258" 0.14146674 NA
"259" 0.14153116 "LAYING"
"260" 0.14171884 NA
"261" 0.14175689 NA
"262" 0.14197324 NA
"263" 0.14209996 NA
"264" 0.14271721 NA
"265" 0.14274211 NA
"266" 0.14288778 NA
"267" 0.14290926 NA
"268" 0.14310538 NA
"269" 0.14317638 NA
"270" 0.14319011 NA
"271" 0.14354926 NA
"272" 0.14360939 "LAYING"
"273" 0.14381651 NA
"274" 0.14386939 NA
"275" 0.14414919 NA
"276" 0.14425234 NA
"277" 0.14445463 NA
"278" 0.1444642 NA
"279" 0.14450396 "WALKING"
"280" 0.14474072 NA
"281" 0.14505186 NA
"282" 0.14593973 "LAYING"
"283" 0.14625723 NA
"284" 0.14683845 NA
"285" 0.14714555 NA
"286" 0.14721181 NA
"287" 0.14747651 NA
"288" 0.14761585 NA
"289" 0.14829727 NA
"290" 0.14838783 "WALKING_UPSTAIRS"
"291" 0.14842824 NA
"292" 0.14872361 NA
"293" 0.14957067 "SITTING"
"294" 0.14963576 NA
"295" 0.14976175 NA
"296" 0.14993721 NA
"297" 0.14996732 NA
"298" 0.15153105 NA
"299" 0.15157776 NA
"300" 0.15172996 NA
"301" 0.15183443 "LAYING"
"302" 0.15191489 NA
"303" 0.15193168 NA
"304" 0.15219011 NA
"305" 0.1522448 NA
"306" 0.15241797 NA
"307" 0.15280558 NA
"308" 0.15294903 NA
"309" 0.15334488 NA
"310" 0.15362719 NA
"311" 0.15364839 NA
"312" 0.15366105 "WALKING_UPSTAIRS"
"313" 0.15369714 NA
"314" 0.15374449 NA
"315" 0.15385242 NA
"316" 0.15389471 NA
"317" 0.15415589 NA
"318" 0.15439416 "WALKING"
"319" 0.15444322 NA
"320" 0.1546883 NA
"321" 0.15471459 NA
"322" 0.15491386 NA
"323" 0.1549789 NA
"324" 0.15526365 NA
"325" 0.15528646 NA
"326" 0.15539158 NA
"327" 0.15560717 NA
"328" 0.15592739 NA
"329" 0.1559852 NA
"330" 0.15615571 NA
"331" 0.15618659 "WALKING"
"332" 0.15656444 NA
"333" 0.15676269 NA
"334" 0.15681168 NA
"335" 0.15693683 NA
"336" 0.15716985 NA
"337" 0.15751906 NA
"338" 0.15783838 NA
"339" 0.15789429 NA
"340" 0.15801556 NA
"341" 0.15810088 "STANDING"
"342" 0.15810684 NA
"343" 0.15826707 NA
"344" 0.15851651 "WALKING"
"345" 0.15857432 NA
"346" 0.15890499 NA
"347" 0.15912994 NA
"348" 0.15919574 NA
"349" 0.15940435 "SITTING"
"350" 0.15947631 NA
"351" 0.16007475 NA
"352" 0.16016873 "SITTING"
"353" 0.16050705 NA
"354" 0.16067755 NA
"355" 0.16085356 "WALKING"
"356" 0.16088695 NA
"357" 0.16123973 NA
"358" 0.16160096 NA
"359" 0.16160986 NA
"360" 0.16168791 NA
"361" 0.16175682 NA
"362" 0.16198735 NA
"363" 0.16231004 NA
"364" 0.1624076 NA
"365" 0.16240781 NA
"366" 0.16241983 NA
"367" 0.16251295 NA
"368" 0.16257425 NA
"369" 0.16263217 NA
"370" 0.16266798 NA
"371" 0.16278092 NA
"372" 0.162889 NA
"373" 0.16337412 "LAYING"
"374" 0.16391074 NA
"375" 0.16393082 NA
"376" 0.16422959 "SITTING"
"377" 0.16430905 "WALKING_DOWNSTAIRS"
"378" 0.16431791 NA
"379" 0.1643324 NA
"380" 0.1643847 NA
"381" 0.16442857 NA
"382" 0.16444582 NA
"383" 0.16453599 NA
"384" 0.16453897 NA
"385" 0.16459829 NA
"386" 0.16490726 NA
"387" 0.16491265 NA
"388" 0.16496565 "WALKING_DOWNSTAIRS"
"389" 0.16503216 "LAYING"
"390" 0.16511734 NA
"391" 0.16514018 NA
"392" 0.16551251 NA
"393" 0.16569055 NA
"394" 0.16569547 NA
"395" 0.16572588 NA
"396" 0.16573909 NA
"397" 0.16603143 NA
"398" 0.1660384 NA
"399" 0.16608325 NA
"400" 0.16640903 NA
"401" 0.16646184 NA
"402" 0.16652003 NA
"403" 0.16655269 NA
"404" 0.16655551 NA
"405" 0.16674291 NA
"406" 0.16684079 NA
"407" 0.1669136 "WALKING"
"408" 0.16696572 NA
"409" 0.16764246 NA
"410" 0.16803166 NA
"411" 0.16830274 NA
"412" 0.16831268 NA
"413" 0.168419 NA
"414" 0.16862589 NA
"415" 0.1686636 "WALKING"
"416" 0.16867959 NA
"417" 0.1691376 NA
"418" 0.1694432 NA
"419" 0.16956215 NA
"420" 0.16982864 NA
"421" 0.1698748 NA
"422" 0.17002478 NA
"423" 0.170082 NA
"424" 0.1702975 NA
"425" 0.17034926 NA
"426" 0.17051862 NA
"427" 0.17053751 NA
"428" 0.17056846 NA
"429" 0.17073838 NA
"430" 0.17074896 NA
"431" 0.17099688 NA
"432" 0.17102592 NA
"433" 0.17110988 NA
"434" 0.17119582 NA
"435" 0.17124891 NA
"436" 0.1713487 NA
"437" 0.17139425 NA
"438" 0.17176011 NA
"439" 0.17194263 "LAYING"
"440" 0.17198007 NA
"441" 0.1721003 NA
"442" 0.17210322 NA
"443" 0.17214596 NA
"444" 0.17218004 NA
"445" 0.17256086 NA
"446" 0.17263554 NA
"447" 0.17290917 "SITTING"
"448" 0.17297289 NA
"449" 0.17329742 NA
"450" 0.17331223 "WALKING_DOWNSTAIRS"
"451" 0.17376172 NA
"452" 0.17376905 "WALKING_UPSTAIRS"
"453" 0.17385418 NA
"454" 0.17390644 NA
"455" 0.17400407 NA
"456" 0.17402448 "SITTING"
"457" 0.17420476 NA
"458" 0.17423799 NA
"459" 0.17444077 "LAYING"
"460" 0.17444228 "WALKING_DOWNSTAIRS"
"461" 0.17453971 NA
"462" 0.17462376 NA
"463" 0.17466861 NA
"464" 0.17469853 NA
"465" 0.17470369 NA
"466" 0.17489386 NA
"467" 0.17497654 NA
"468" 0.17507914 NA
"469" 0.17510626 "LAYING"
"470" 0.17543173 "WALKING_DOWNSTAIRS"
"471" 0.17564039 NA
"472" 0.17596171 NA
"473" 0.17617081 NA
"474" 0.17659603 "WALKING_DOWNSTAIRS"
"475" 0.17665828 NA
"476" 0.17677724 NA
"477" 0.17696686 NA
"478" 0.17706121 NA
"479" 0.17738195 NA
"480" 0.1775628 NA
"481" 0.17766532 "WALKING_UPSTAIRS"
"482" 0.17768732 NA
"483" 0.17771029 NA
"484" 0.17779382 NA
"485" 0.17779799 NA
"486" 0.17784931 "LAYING"
"487" 0.17786334 NA
"488" 0.17805985 NA
"489" 0.17810839 NA
"490" 0.17812721 NA
"491" 0.17816497 NA
"492" 0.17856694 "SITTING"
"493" 0.17892621 NA
"494" 0.17910207 NA
"495" 0.17910807 "STANDING"
"496" 0.1791572 "SITTING"
"497" 0.17917476 NA
"498" 0.17920383 NA
"499" 0.17921646 NA
"500" 0.17938622 NA
"501" 0.17944734 NA
"502" 0.17955558 NA
"503" 0.17965126 NA
"504" 0.17984498 "WALKING_DOWNSTAIRS"
"505" 0.17985359 NA
"506" 0.17991522 "WALKING_UPSTAIRS"
"507" 0.17993953 "WALKING"
"508" 0.18015059 NA
"509" 0.1801943 "WALKING"
"510" 0.18038232 "STANDING"
"511" 0.18039614 NA
"512" 0.18047854 "WALKING"
"513" 0.1806231 NA
"514" 0.18082048 "STANDING"
"515" 0.18086902 NA
"516" 0.1813668 NA
"517" 0.18136709 NA
"518" 0.18136941 NA
"519" 0.18141447 NA
"520" 0.18146462 NA
"521" 0.18146971 NA
"522" 0.1815036 NA
"523" 0.18155133 NA
"524" 0.18164436 NA
"525" 0.1816777 NA
"526" 0.18181686 "WALKING_DOWNSTAIRS"
"527" 0.18195155 NA
"528" 0.18205836 NA
"529" 0.18207935 NA
"530" 0.18208523 NA
"531" 0.18214828 "WALKING_UPSTAIRS"
"532" 0.18216148 NA
"533" 0.1821957 "WALKING_UPSTAIRS"
"534" 0.18224771 NA
"535" 0.18230735 NA
"536" 0.1824686 NA
"537" 0.18254241 NA
"538" 0.18258296 NA
"539" 0.18274179 NA
"540" 0.18300779 NA
"541" 0.18308063 NA
"542" 0.18312961 NA
"543" 0.1832924 NA
"544" 0.18340929 NA
"545" 0.18357982 "STANDING"
"546" 0.18359029 "WALKING"
"547" 0.18360052 NA
"548" 0.18360372 "WALKING"
"549" 0.18380282 NA
"550" 0.18399426 NA
"551" 0.18402799 NA
"552" 0.18402989 NA
"553" 0.18406817 NA
"554" 0.18423629 NA
"555" 0.18424891 NA
"556" 0.18425581 NA
"557" 0.1844141 "WALKING_UPSTAIRS"
"558" 0.18446909 NA
"559" 0.18449832 NA
"560" 0.18471141 NA
"561" 0.18485338 NA
"562" 0.1848639 NA
"563" 0.18493458 NA
"564" 0.18502913 NA
"565" 0.18511461 NA
"566" 0.18529287 "SITTING"
"567" 0.18530276 "STANDING"
"568" 0.18547414 NA
"569" 0.18570989 NA
"570" 0.1858199 NA
"571" 0.1859431 NA
"572" 0.18594631 "WALKING"
"573" 0.18595573 NA
"574" 0.18649749 "LAYING"
"575" 0.18669801 NA
"576" 0.18677291 NA
"577" 0.18690031 NA
"578" 0.18707075 NA
"579" 0.18710156 "STANDING"
"580" 0.18721882 NA
"581" 0.18722202 NA
"582" 0.18736199 NA
"583" 0.18741915 "WALKING_UPSTAIRS"
"584" 0.18748729 NA
"585" 0.18751103 NA
"586" 0.18757721 NA
"587" 0.18768 NA
"588" 0.18773885 NA
"589" 0.18791975 NA
"590" 0.18812342 NA
"591" 0.18814225 NA
"592" 0.18817546 "STANDING"
"593" 0.18825276 NA
"594" 0.18837158 NA
"595" 0.18843063 NA
"596" 0.18851078 "LAYING"
"597" 0.18861068 "WALKING_DOWNSTAIRS"
"598" 0.18889779 NA
"599" 0.18895351 NA
"600" 0.18902193 NA
"601" 0.18906578 NA
"602" 0.18910878 NA
"603" 0.18928225 NA
"604" 0.18944069 "WALKING"
"605" 0.18948124 NA
"606" 0.18961848 NA
"607" 0.18965016 "LAYING"
"608" 0.18985623 "WALKING_DOWNSTAIRS"
"609" 0.19014289 "SITTING"
"610" 0.19020338 NA
"611" 0.1902231 "WALKING"
"612" 0.19050003 "SITTING"
"613" 0.19058591 NA
"614" 0.19060765 NA
"615" 0.19065763 NA
"616" 0.19079141 NA
"617" 0.19080388 NA
"618" 0.19084787 NA
"619" 0.19088975 NA
"620" 0.19099079 NA
"621" 0.19100831 NA
"622" 0.19108755 "SITTING"
"623" 0.19112791 NA
"624" 0.19156832 NA
"625" 0.19163174 NA
"626" 0.19164473 NA
"627" 0.19174597 NA
"628" 0.19180006 NA
"629" 0.19184361 NA
"630" 0.19187299 NA
"631" 0.19202015 NA
"632" 0.192209 NA
"633" 0.19227459 NA
"634" 0.19231393 NA
"635" 0.19239073 "WALKING"
"636" 0.19253133 NA
"637" 0.19257942 NA
"638" 0.19263592 "LAYING"
"639" 0.19270076 NA
"640" 0.19272627 NA
"641" 0.19277768 NA
"642" 0.19282696 NA
"643" 0.19290966 NA
"644" 0.19304071 NA
"645" 0.19317016 "WALKING_UPSTAIRS"
"646" 0.19321561 NA
"647" 0.19344778 NA
"648" 0.19347461 NA
"649" 0.193572 NA
"650" 0.1937673 NA
"651" 0.19378201 NA
"652" 0.19390401 NA
"653" 0.19400086 NA
"654" 0.19403481 "LAYING"
"655" 0.19408808 NA
"656" 0.19410573 NA
"657" 0.19427105 NA
"658" 0.19436057 NA
"659" 0.1944208 NA
"660" 0.19467196 NA
"661" 0.19471487 "WALKING_UPSTAIRS"
"662" 0.19472621 NA
"663" 0.19477156 NA
"664" 0.19479279 "LAYING"
"665" 0.19479704 "SITTING"
"666" 0.19486662 NA
"667" 0.19495805 NA
"668" 0.19499673 NA
"669" 0.19500452 NA
"670" 0.19506298 NA
"671" 0.19515077 "STANDING"
"672" 0.19517945 NA
"673" 0.19518889 "WALKING_UPSTAIRS"
"674" 0.19526114 NA
"675" 0.19528723 NA
"676" 0.19529214 NA
"677" 0.19534584 NA
"678" 0.1954509 "WALKING_DOWNSTAIRS"
"679" 0.19549619 "WALKING_UPSTAIRS"
"680" 0.19561549 NA
"681" 0.19581123 NA
"682" 0.19583759 NA
"683" 0.19594646 "LAYING"
"684" 0.19596754 NA
"685" 0.19601079 NA
"686" 0.19603712 NA
"687" 0.19618648 NA
"688" 0.19621298 NA
"689" 0.19621687 NA
"690" 0.19648111 "WALKING_UPSTAIRS"
"691" 0.1965075 NA
"692" 0.19653534 NA
"693" 0.19658883 NA
"694" 0.19681046 NA
"695" 0.19682966 NA
"696" 0.19686999 NA
"697" 0.19695335 "LAYING"
"698" 0.19695721 "STANDING"
"699" 0.19698843 NA
"700" 0.19705375 NA
"701" 0.19715247 NA
"702" 0.19716007 NA
"703" 0.19721667 NA
"704" 0.19724084 NA
"705" 0.19727625 NA
"706" 0.19728785 NA
"707" 0.19731513 NA
"708" 0.19736477 NA
"709" 0.19737448 "WALKING"
"710" 0.1973815 NA
"711" 0.19741556 "STANDING"
"712" 0.19755486 NA
"713" 0.19783456 "WALKING_UPSTAIRS"
"714" 0.19788464 NA
"715" 0.19793865 NA
"716" 0.19799044 NA
"717" 0.19808155 NA
"718" 0.19815462 NA
"719" 0.19819121 NA
"720" 0.19824634 NA
"721" 0.1982599 "WALKING_UPSTAIRS"
"722" 0.19831241 NA
"723" 0.19831991 NA
"724" 0.19841429 NA
"725" 0.19842455 "WALKING_UPSTAIRS"
"726" 0.1984492 NA
"727" 0.19850034 "STANDING"
"728" 0.19855719 "WALKING_DOWNSTAIRS"
"729" 0.19859182 NA
"730" 0.19864335 NA
"731" 0.19866526 NA
"732" 0.19867278 NA
"733" 0.19870516 NA
"734" 0.19874142 "LAYING"
"735" 0.19875492 NA
"736" 0.1988294 NA
"737" 0.19884197 NA
"738" 0.19885051 NA
"739" 0.19886411 NA
"740" 0.19893411 NA
"741" 0.19894344 NA
"742" 0.19897492 "STANDING"
"743" 0.19898892 NA
"744" 0.19899162 "STANDING"
"745" 0.19911312 NA
"746" 0.19911776 NA
"747" 0.1991597 NA
"748" 0.19918776 "SITTING"
"749" 0.19927104 "LAYING"
"750" 0.19927482 NA
"751" 0.19940274 "LAYING"
"752" 0.19945312 NA
"753" 0.19948102 NA
"754" 0.19952567 NA
"755" 0.19959107 NA
"756" 0.19963301 NA
"757" 0.19963534 NA
"758" 0.19973788 NA
"759" 0.1997558 NA
"760" 0.19976072 NA
"761" 0.19981607 NA
"762" 0.19989762 NA
"763" 0.20000373 NA
"764" 0.20035178 "WALKING_DOWNSTAIRS"
"765" 0.20038084 NA
"766" 0.20041462 NA
"767" 0.20046704 "SITTING"
"768" 0.20050135 NA
"769" 0.20050501 NA
"770" 0.2006192 NA
"771" 0.20065487 NA
"772" 0.20065947 NA
"773" 0.20074204 NA
"774" 0.20078516 "WALKING_DOWNSTAIRS"
"775" 0.20087029 NA
"776" 0.20092099 NA
"777" 0.20103365 "LAYING"
"778" 0.20109646 NA
"779" 0.20123402 NA
"780" 0.20127353 NA
"781" 0.20139663 NA
"782" 0.20145248 NA
"783" 0.20146823 NA
"784" 0.20151457 NA
"785" 0.20175496 NA
"786" 0.20180862 "STANDING"
"787" 0.20198951 NA
"788" 0.20201055 "WALKING"
"789" 0.20202838 "LAYING"
"790" 0.20207704 NA
"791" 0.20209733 NA
"792" 0.20231704 "WALKING_DOWNSTAIRS"
"793" 0.20235118 NA
"794" 0.20244339 NA
"795" 0.20246527 NA
"796" 0.20253112 NA
"797" 0.20254711 NA
"798" 0.20255027 "STANDING"
"799" 0.20261819 NA
"800" 0.20263694 NA
"801" 0.20266424 NA
"802" 0.20269282 NA
"803" 0.20271386 NA
"804" 0.20290261 NA
"805" 0.20292612 NA
"806" 0.20294352 NA
"807" 0.20297773 "WALKING"
"808" 0.20308516 NA
"809" 0.20319549 "WALKING_DOWNSTAIRS"
"810" 0.20327631 NA
"811" 0.20329341 NA
"812" 0.20332193 NA
"813" 0.20346813 NA
"814" 0.20348027 NA
"815" 0.20351471 NA
"816" 0.20352497 NA
"817" 0.20356167 "WALKING"
"818" 0.20360159 NA
"819" 0.20366345 NA
"820" 0.20371726 NA
"821" 0.2038278 "WALKING"
"822" 0.20388363 NA
"823" 0.20391731 NA
"824" 0.20396243 "WALKING_UPSTAIRS"
"825" 0.20397464 NA
"826" 0.20413138 NA
"827" 0.20437363 NA
"828" 0.20438609 NA
"829" 0.20445415 NA
"830" 0.20452454 NA
"831" 0.20459557 NA
"832" 0.20461621 NA
"833" 0.20462866 NA
"834" 0.20472916 NA
"835" 0.20473933 NA
"836" 0.20481442 "WALKING_DOWNSTAIRS"
"837" 0.20485113 NA
"838" 0.20487602 NA
"839" 0.20495064 NA
"840" 0.20503274 NA
"841" 0.20503334 "STANDING"
"842" 0.20504269 NA
"843" 0.20530739 "WALKING"
"844" 0.20535149 "WALKING"
"845" 0.20537858 NA
"846" 0.20541505 NA
"847" 0.20543693 "STANDING"
"848" 0.20559292 NA
"849" 0.20564028 NA
"850" 0.20572711 NA
"851" 0.20573977 "STANDING"
"852" 0.20574701 "WALKING_UPSTAIRS"
"853" 0.20582218 NA
"854" 0.20583007 NA
"855" 0.20586353 NA
"856" 0.20597918 NA
"857" 0.20600983 NA
"858" 0.2060255 NA
"859" 0.20605343 NA
"860" 0.20622164 NA
"861" 0.20623002 NA
"862" 0.20625869 NA
"863" 0.20636437 NA
"864" 0.20637424 "SITTING"
"865" 0.20648916 NA
"866" 0.20649771 NA
"867" 0.20650757 NA
"868" 0.20657187 NA
"869" 0.20673957 "LAYING"
"870" 0.2068116 "LAYING"
"871" 0.20682822 NA
"872" 0.20689675 NA
"873" 0.20695078 NA
"874" 0.20695313 NA
"875" 0.20698753 NA
"876" 0.2070012 NA
"877" 0.20707409 NA
"878" 0.20709585 NA
"879" 0.20714979 "WALKING"
"880" 0.20715934 NA
"881" 0.20726805 NA
"882" 0.20731083 "WALKING_UPSTAIRS"
"883" 0.20732943 NA
"884" 0.2074207 NA
"885" 0.20754233 NA
"886" 0.20767464 NA
"887" 0.20770807 NA
"888" 0.20770911 NA
"889" 0.20775787 NA
"890" 0.20780154 NA
"891" 0.20786071 NA
"892" 0.20786336 NA
"893" 0.20790723 NA
"894" 0.20795053 NA
"895" 0.20797202 NA
"896" 0.20803871 NA
"897" 0.2080392 NA
"898" 0.20806983 NA
"899" 0.20810191 NA
"900" 0.20812615 NA
"901" 0.20827927 NA
"902" 0.20831573 NA
"903" 0.20844568 NA
"904" 0.20855568 NA
"905" 0.20857014 NA
"906" 0.20865609 NA
"907" 0.20867175 "LAYING"
"908" 0.20876832 "WALKING"
"909" 0.20879354 NA
"910" 0.20879477 NA
"911" 0.20885378 NA
"912" 0.20886137 NA
"913" 0.20890103 NA
"914" 0.20891063 NA
"915" 0.20894174 "WALKING_UPSTAIRS"
"916" 0.20896421 "WALKING"
"917" 0.20906379 "WALKING_UPSTAIRS"
"918" 0.20908092 "WALKING_DOWNSTAIRS"
"919" 0.20911069 NA
"920" 0.20914874 NA
"921" 0.20916383 NA
"922" 0.20922994 "WALKING_DOWNSTAIRS"
"923" 0.20923873 NA
"924" 0.20925541 NA
"925" 0.20933813 NA
"926" 0.20935116 NA
"927" 0.20944376 "STANDING"
"928" 0.20944485 NA
"929" 0.20950761 NA
"930" 0.20951063 NA
"931" 0.20953394 "LAYING"
"932" 0.20956471 "SITTING"
"933" 0.2096332 NA
"934" 0.20964841 NA
"935" 0.20965796 NA
"936" 0.20967945 NA
"937" 0.20972857 NA
"938" 0.20981027 NA
"939" 0.20986286 NA
"940" 0.20993407 NA
"941" 0.20998341 NA
"942" 0.21011624 NA
"943" 0.21013738 NA
"944" 0.21020067 NA
"945" 0.21025917 "LAYING"
"946" 0.21039376 NA
"947" 0.21041685 NA
"948" 0.21042944 "WALKING_DOWNSTAIRS"
"949" 0.21051654 NA
"950" 0.21057728 NA
"951" 0.21064953 NA
"952" 0.21065029 NA
"953" 0.21068861 NA
"954" 0.21070047 "WALKING"
"955" 0.2107571 "LAYING"
"956" 0.2107581 NA
"957" 0.21084263 NA
"958" 0.21088246 "SITTING"
"959" 0.21090881 NA
"960" 0.21093439 NA
"961" 0.21102476 "WALKING_UPSTAIRS"
"962" 0.21116954 NA
"963" 0.21117632 NA
"964" 0.21123172 NA
"965" 0.21137137 NA
"966" 0.21142198 NA
"967" 0.21142785 NA
"968" 0.21148148 NA
"969" 0.21150956 "SITTING"
"970" 0.21164141 NA
"971" 0.21168509 NA
